,standard_names,Confirmed_daily,Deaths_daily,Recovered_daily,Active_daily
0,United States,16973375.0,307429.0,6303715.0,16770801.0
1,India,9956557.0,144452.0,9489740.0,1069706.0
2,Brazil,7040608.0,183735.0,6239192.0,2049400.0
3,China,6490161.0,4746.0,89147.0,6457638.0
4,Russia,2708940.0,47994.0,2155842.0,677393.0
5,France,2539650.0,59857.0,186535.0,2320216.0
6,United Kingdom,2001391.0,849209.0,5198.0,2666440.0
7,Turkey,1928165.0,17121.0,1691113.0,1387694.0
8,Italy,1888292.0,66568.0,1176785.0,918745.0
9,Spain,1783696.0,50516.0,150376.0,1629869.0
10,Argentina,1517046.0,41365.0,1347914.0,332800.0
11,Colombia,1456599.0,39560.0,1402317.0,373999.0
12,Germany,1423830.0,24305.0,1056477.0,513066.0
13,Mexico,1277499.0,115769.0,1050129.0,362784.0
14,Poland,1159901.0,23914.0,892662.0,456337.0
15,Iran,1131077.0,52883.0,844430.0,294951.0
16,Peru,986130.0,36754.0,925534.0,387107.0
17,Ukraine,945218.0,16314.0,555675.0,398253.0
18,South Africa,883687.0,23827.0,774585.0,291066.0
19,Netherlands,708169.0,16478.0,8256.0,683601.0
20,Indonesia,636154.0,19248.0,521984.0,120475.0
21,Belgium,615058.0,18395.0,31212.0,597333.0
22,Czech Republic,594148.0,9896.0,525271.0,239561.0
23,Iraq,578916.0,12636.0,513405.0,89030.0
24,Chile,576731.0,15959.0,549852.0,125258.0
25,Romania,571749.0,13862.0,469499.0,175863.0
26,Bangladesh,495841.0,7156.0,429351.0,141012.0
27,Canada,485550.0,13814.0,768406.0,325531.0
28,Philippines,452988.0,8835.0,419498.0,325391.0
29,Pakistan,448522.0,9080.0,396599.0,174917.0
30,Morocco,406970.0,6749.0,366835.0,68575.0
31,Switzerland,394453.0,6485.0,311500.0,222934.0
32,Israel,365070.0,3034.0,341220.0,117196.0
33,Saudi Arabia,360335.0,6080.0,351192.0,81177.0
34,Portugal,358457.0,5815.0,283719.0,122843.0
35,Sweden,348585.0,7827.0,0.0,340817.0
36,Austria,330343.0,4766.0,291047.0,89223.0
37,Hungary,288567.0,7381.0,83940.0,201920.0
38,Serbia,282601.0,2485.0,15738.0,287981.0
39,Jordan,267695.0,3465.0,230363.0,144378.0
40,Nepal,250917.0,1743.0,238569.0,67620.0
41,Ecuador,214527.0,13915.0,189013.0,161939.0
42,Panama,199947.0,3439.0,166600.0,57064.0
43,Georgia,198387.0,1922.0,167281.0,42837.0
44,Kazakhstan,188837.0,2617.0,163526.0,93064.0
45,United Arab Emirates,188545.0,626.0,165749.0,47050.0
46,Japan,187749.0,2624.0,168878.0,73023.0
47,Azerbaijan,187336.0,2050.0,122860.0,70458.0
48,Bulgaria,186246.0,6196.0,90510.0,98903.0
49,Croatia,183045.0,2870.0,157773.0,41112.0
50,Belarus,165897.0,1291.0,143374.0,51132.0
51,Dominican Republic,156585.0,2372.0,121988.0,58106.0
52,Costa Rica,155263.0,1967.0,122947.0,71942.0
53,Lebanon,150933.0,1234.0,104207.0,64829.0
54,Bolivia,148214.0,9029.0,126950.0,62072.0
55,Kuwait,146971.0,913.0,142909.0,25862.0
56,Qatar,141417.0,242.0,139042.0,37674.0
57,Slovakia,139088.0,1310.0,101595.0,65629.0
58,Guatemala,130828.0,4510.0,119288.0,37792.0
59,Moldova,130329.0,2650.0,112677.0,37355.0
60,Greece,127557.0,3870.0,23074.0,118912.0
61,Oman,126835.0,1480.0,118736.0,37372.0
62,Egypt,123153.0,6990.0,105725.0,65421.0
63,Denmark,120330.0,1591.0,84331.0,42847.0
64,Ethiopia,118006.0,1818.0,97975.0,52017.0
65,Palestine,115606.0,1048.0,90965.0,39578.0
66,Honduras,115337.0,3013.0,52951.0,68002.0
67,Tunisia,114547.0,3997.0,87884.0,71688.0
68,Myanmar,111900.0,2346.0,90462.0,31787.0
69,Venezuela,108717.0,976.0,103492.0,27712.0
70,Bosnia and Herzegovina,103232.0,3511.0,68245.0,42741.0
71,Slovenia,100401.0,2190.0,77453.0,27994.0
72,Lithuania,99974.0,907.0,43387.0,65849.0
73,Paraguay,96209.0,2014.0,68658.0,29180.0
74,Algeria,93507.0,2631.0,61814.0,31819.0
75,Kenya,92853.0,1614.0,75063.0,41954.0
76,Libya,92577.0,1327.0,62721.0,39999.0
77,Bahrain,89600.0,349.0,87690.0,15021.0
78,Malaysia,87913.0,429.0,72733.0,24877.0
79,Kyrgyz Republic,78151.0,1760.0,71270.0,21761.0
80,Ireland,77197.0,2156.0,23364.0,73769.0
81,Uzbekistan,75538.0,612.0,72810.0,14161.0
82,Nigeria,75062.0,1201.0,66775.0,33036.0
83,Singapore,58353.0,29.0,58238.0,24691.0
84,Ghana,53386.0,327.0,52079.0,16033.0
85,Albania,50637.0,1040.0,26381.0,24396.0
86,Afghanistan,49161.0,2011.0,38475.0,28115.0
87,Kosovo,47499.0,1225.0,34956.0,17242.0
88,South Korea,46452.0,634.0,33627.0,24474.0
89,Luxembourg,44193.0,423.0,39618.0,23938.0
90,El Salvador,42397.0,1219.0,38481.0,12881.0
91,Norway,42312.0,402.0,17998.0,41232.0
92,Sri Lanka,34737.0,160.0,25655.0,12851.0
93,Finland,31878.0,479.0,22700.0,26725.0
94,Uganda,28838.0,225.0,10183.0,21195.0
95,Australia,28072.0,958.0,25705.0,15441.0
96,Latvia,27495.0,382.0,18183.0,24397.0
97,Cameroon,25472.0,445.0,23852.0,15256.0
98,Sudan,22082.0,1384.0,12753.0,11909.0
99,Cote d'Ivoire,21775.0,133.0,21675.0,7836.0
100,Estonia,19271.0,166.0,12121.0,10073.0
101,Zambia,18456.0,369.0,17635.0,7992.0
102,Madagascar,17594.0,259.0,16992.0,5946.0
103,Senegal,17336.0,352.0,16349.0,6288.0
104,Namibia,17276.0,164.0,15196.0,9803.0
105,Mozambique,17143.0,145.0,15241.0,7206.0
106,Angola,16407.0,382.0,9501.0,9402.0
107,Cyprus,16207.0,94.0,2057.0,15587.0
108,DR Congo,14930.0,364.0,12859.0,8781.0
109,Guinea,13474.0,80.0,12727.0,4813.0
110,Botswana,12873.0,38.0,10456.0,6745.0
111,Tajikistan,12815.0,90.0,12424.0,2983.0
112,Jamaica,11907.0,276.0,8371.0,6361.0
113,Zimbabwe,11755.0,313.0,9702.0,6664.0
114,Mauritania,11629.0,244.0,8281.0,6218.0
115,Cabo Verde,11458.0,110.0,11106.0,4144.0
116,Malta,11457.0,182.0,9561.0,3777.0
117,Uruguay,10914.0,102.0,7143.0,4612.0
118,Belize,9672.0,212.0,4628.0,5404.0
119,Cuba,9671.0,138.0,8658.0,3395.0
120,Syria,9603.0,554.0,4548.0,4561.0
121,Haiti,9597.0,234.0,8289.0,6561.0
122,Gabon,9373.0,63.0,9223.0,3467.0
123,Andorra,7446.0,79.0,6820.0,2538.0
124,Eswatini,7026.0,135.0,6531.0,2730.0
125,Rwanda,6954.0,57.0,6057.0,3940.0
126,Trinidad and Tobago,6917.0,123.0,6453.0,3720.0
127,Congo Republic,6200.0,131.0,4988.0,4560.0
128,Malawi,6091.0,187.0,5661.0,3237.0
129,Guyana,6031.0,158.0,5185.0,2515.0
130,Mali,5969.0,209.0,3702.0,3117.0
131,Nicaragua,5938.0,163.0,4225.0,3659.0
132,Djibouti,5759.0,61.0,5628.0,3537.0
133,Iceland,5578.0,34.0,5458.0,2638.0
134,Suriname,5401.0,117.0,5239.0,1771.0
135,Central African Republic,4936.0,63.0,1924.0,3634.0
136,Somalia,4579.0,122.0,3529.0,2758.0
137,Burkina Faso,4449.0,73.0,3088.0,2598.0
138,Thailand,4279.0,60.0,3989.0,2231.0
139,Gambia,3886.0,123.0,3653.0,2564.0
140,Benin,3361.0,44.0,2998.0,2331.0
141,Togo,3315.0,66.0,2852.0,1249.0
142,South Sudan,3222.0,62.0,3043.0,2857.0
143,Sierra Leone,2460.0,75.0,1854.0,1193.0
144,Yemen,2391.0,649.0,1557.0,1082.0
145,Lesotho,2365.0,46.0,1423.0,1573.0
146,Niger,2365.0,82.0,1329.0,1627.0
147,New Zealand,2102.0,25.0,2032.0,1285.0
148,San Marino,2053.0,54.0,1694.0,1015.0
149,Chad,1800.0,102.0,1620.0,906.0
150,Liberia,1773.0,83.0,1406.0,1082.0
151,Vietnam,1405.0,36.0,1304.0,1030.0
152,Mongolia,923.0,0.0,384.0,800.0
153,Taiwan,751.0,7.0,612.0,553.0
154,Papua New Guinea,745.0,9.0,601.0,567.0
155,Burundi,741.0,1.0,640.0,469.0
156,Eritrea,711.0,0.0,564.0,394.0
157,Monaco,697.0,6.0,636.0,388.0
158,Mauritius,526.0,10.0,489.0,406.0
159,Tanzania,509.0,21.0,183.0,333.0
160,Bhutan,440.0,0.0,409.0,277.0
161,Cambodia,362.0,0.0,325.0,284.0
162,Barbados,301.0,7.0,274.0,190.0
163,Seychelles,202.0,0.0,184.0,164.0
164,Brunei Darussalam,152.0,3.0,148.0,123.0
165,Dominica,88.0,0.0,83.0,58.0
166,Fiji,46.0,2.0,38.0,40.0
167,Laos,41.0,0.0,37.0,42.0
168,Timor-Leste,31.0,0.0,30.0,28.0
169,Solomon Islands,17.0,0.0,5.0,15.0
170,Vanuatu,1.0,0.0,1.0,1.0
171,Macau,0.0,0.0,0.0,0.0
