standard_names,Confirmed,Deaths,Recovered,Active
United States,17459296.0,313588.0,11060515.0,25347151.0
India,9462809.0,137626.0,8889585.0,47550412.0
Brazil,7162978.0,185650.0,6322955.0,37094627.0
China,6665209.0,14051.0,166939.0,7616036.0
France,5352449.0,338941.0,375431.0,7072707.0
Russia,2764843.0,49170.0,2207398.0,20563454.0
Spain,2246032.0,106259.0,150376.0,3547225.0
United Kingdom,2173896.0,1625676.0,8295.0,6503966.0
Italy,2159937.0,102569.0,1434624.0,19787560.0
Turkey,1982090.0,17610.0,1753552.0,5133345.0
Argentina,1531374.0,41672.0,1356755.0,8105416.0
Germany,1486839.0,37544.0,1095982.0,6468163.0
Colombia,1482072.0,40019.0,2401038.0,7262974.0
Mexico,1301546.0,117249.0,2057991.0,4139243.0
Poland,1182864.0,24771.0,915589.0,9675708.0
Iran,1145651.0,53273.0,865474.0,4906882.0
Peru,989457.0,36858.0,1222825.0,9005854.0
South Africa,901538.0,24285.0,783818.0,6964662.0
Ukraine,752343.0,12731.0,360360.0,966331.0
Netherlands,651745.0,52560.0,7251.0,667687.0
Indonesia,650197.0,19514.0,531995.0,2432788.0
Belgium,621039.0,28451.0,54248.0,831522.0
Czech Republic,610006.0,12949.0,958936.0,3799001.0
Romania,582786.0,14157.0,484948.0,2603115.0
Iraq,581811.0,12670.0,517091.0,3666233.0
Chile,581135.0,16051.0,552289.0,2106254.0
Canada,499256.0,14054.0,1331960.0,1013317.0
Bangladesh,498293.0,7217.0,433614.0,9352925.0
Philippines,456562.0,8894.0,835738.0,1115794.0
Pakistan,454673.0,9250.0,404514.0,3091429.0
Morocco,412393.0,6854.0,372725.0,1678162.0
Switzerland,403989.0,8706.0,311500.0,3196415.0
Ecuador,402468.0,13461.0,272108.0,553757.0
Portugal,392303.0,5977.0,290690.0,2149409.0
Israel,370240.0,3057.0,344377.0,2193838.0
Sweden,367120.0,19709.0,0.0,1106375.0
Saudi Arabia,360690.0,6101.0,351573.0,3402250.0
Hungary,295977.0,7725.0,89814.0,650546.0
Serbia,292640.0,2584.0,26927.0,475342.0
Austria,282456.0,4747.0,221698.0,1152876.0
Jordan,272737.0,3518.0,237136.0,1540967.0
Nepal,252724.0,1765.0,241392.0,1638756.0
Panama,206310.0,3504.0,170170.0,1648449.0
Georgia,204003.0,2002.0,171526.0,431673.0
Azerbaijan,195422.0,2133.0,131263.0,440287.0
Japan,193753.0,3625.0,614943.0,896049.0
United Arab Emirates,191150.0,630.0,167306.0,939304.0
Kazakhstan,190292.0,2626.0,197211.0,1410260.0
Croatia,190235.0,3023.0,165915.0,540282.0
Bulgaria,190027.0,6496.0,96622.0,1157148.0
Belarus,169648.0,1308.0,147369.0,1094323.0
Dominican Republic,157929.0,2376.0,122406.0,1994628.0
Costa Rica,157472.0,1996.0,125488.0,1134379.0
Lebanon,154944.0,1259.0,106712.0,905820.0
Bolivia,149149.0,9033.0,127540.0,3335897.0
Kuwait,147531.0,916.0,143355.0,1022286.0
Slovakia,146124.0,1441.0,104584.0,1349846.0
Qatar,141716.0,242.0,139384.0,1063610.0
Moldova,133360.0,2700.0,115612.0,743851.0
Guatemala,132062.0,4589.0,120257.0,649128.0
Greece,129584.0,4044.0,23074.0,183115.0
Oman,127019.0,1483.0,119009.0,668190.0
Egypt,124280.0,7041.0,106184.0,1843541.0
Palestine,119612.0,1097.0,94664.0,492654.0
Ethiopia,119025.0,1843.0,100867.0,1850291.0
Honduras,118312.0,3023.0,54081.0,1849139.0
Tunisia,117582.0,4090.0,87884.0,409494.0
Myanmar,114198.0,2398.0,111790.0,535365.0
Venezuela,109395.0,995.0,103975.0,736969.0
Lithuania,107659.0,972.0,48139.0,244838.0
Bosnia and Herzegovina,104881.0,3583.0,70249.0,765776.0
Slovenia,103555.0,2274.0,80935.0,547756.0
Paraguay,98296.0,2050.0,70101.0,473705.0
Algeria,94371.0,2647.0,67401.0,226971.0
Libya,93772.0,1422.0,63887.0,614212.0
Kenya,93761.0,1629.0,107274.0,753553.0
Bahrain,89883.0,349.0,88003.0,467407.0
Denmark,81002.0,2590.0,64031.0,307089.0
Kyrgyz Republic,78679.0,2822.0,72051.0,567026.0
Ireland,78254.0,12820.0,23364.0,99450.0
Nigeria,77013.0,2367.0,67484.0,513488.0
Uzbekistan,75675.0,612.0,72961.0,358806.0
Malaysia,65697.0,360.0,54759.0,277229.0
Singapore,58386.0,29.0,58265.0,789690.0
Ghana,53653.0,331.0,52365.0,176235.0
Albania,52004.0,1066.0,27426.0,120060.0
Luxembourg,51656.0,503.0,51947.0,210263.0
South Korea,48570.0,659.0,34469.0,336483.0
Kosovo,48337.0,1240.0,35792.0,397830.0
Finland,47179.0,1866.0,27500.0,109318.0
Afghanistan,46274.0,1795.0,36831.0,756932.0
Cote d'Ivoire,43620.0,133.0,24913.0,208069.0
Norway,43207.0,404.0,17998.0,67461.0
El Salvador,42397.0,1234.0,38481.0,540656.0
Sri Lanka,36049.0,165.0,27067.0,175857.0
Uganda,30391.0,230.0,11322.0,85187.0
Latvia,29427.0,409.0,19103.0,54548.0
Australia,27912.0,1281.0,39914.0,299351.0
Cameroon,25472.0,445.0,24016.0,50376.0
Sudan,22265.0,1408.0,12873.0,92253.0
Estonia,20658.0,237.0,13162.0,96214.0
Zambia,18575.0,373.0,17729.0,56502.0
Cyprus,18131.0,131.0,2057.0,26161.0
Namibia,18041.0,169.0,15626.0,101160.0
Madagascar,17780.0,259.0,16992.0,90640.0
Senegal,17559.0,357.0,16449.0,221718.0
Mozambique,17338.0,146.0,15365.0,131833.0
Angola,16562.0,595.0,10680.0,176185.0
DR Congo,15089.0,366.0,13010.0,124454.0
Guinea,13511.0,80.0,12859.0,89188.0
Botswana,13014.0,38.0,10535.0,24227.0
Malta,12917.0,249.0,11403.0,75232.0
Tajikistan,12888.0,178.0,12974.0,156847.0
Uruguay,12451.0,109.0,8514.0,26805.0
Zimbabwe,12087.0,316.0,9894.0,66288.0
Mauritania,12046.0,264.0,8426.0,72245.0
Jamaica,12039.0,283.0,8668.0,213797.0
Cabo Verde,11526.0,110.0,11164.0,60974.0
Syria,9928.0,591.0,4686.0,12464.0
Cuba,9893.0,226.0,8912.0,50418.0
Belize,9791.0,213.0,4779.0,46545.0
Haiti,9648.0,234.0,8351.0,183846.0
Gabon,9400.0,64.0,9254.0,71629.0
Andorra,7519.0,80.0,6920.0,46452.0
Eswatini,7202.0,136.0,6624.0,52505.0
Rwanda,7105.0,57.0,6089.0,86519.0
Trinidad and Tobago,6955.0,123.0,7300.0,79295.0
Gambia,6471.0,123.0,3654.0,43730.0
Congo Republic,6200.0,214.0,4988.0,9845.0
Malawi,6148.0,187.0,5662.0,100490.0
Mali,6120.0,215.0,3771.0,50750.0
Guyana,6096.0,159.0,5288.0,47167.0
Nicaragua,5938.0,163.0,4225.0,7527.0
Djibouti,5780.0,61.0,5641.0,45171.0
Iceland,5604.0,34.0,27068.0,44929.0
Suriname,5459.0,117.0,5249.0,22730.0
New Zealand,5067.0,25.0,2034.0,19008.0
Central African Republic,4936.0,63.0,1924.0,84269.0
Burkina Faso,4832.0,74.0,3403.0,22947.0
Somalia,4662.0,222.0,3566.0,56034.0
Thailand,4331.0,60.0,4024.0,32347.0
Yemen,4023.0,619.0,1521.0,22307.0
Niger,3696.0,85.0,1377.0,9929.0
Benin,3491.0,44.0,3055.0,10194.0
San Marino,3444.0,55.0,1733.0,16072.0
Togo,3350.0,66.0,2933.0,35489.0
South Sudan,3228.0,62.0,3090.0,15402.0
Sierra Leone,2486.0,75.0,1854.0,34287.0
Lesotho,2109.0,44.0,1278.0,15502.0
Chad,1839.0,102.0,1630.0,7518.0
Liberia,1779.0,83.0,1406.0,15152.0
Taiwan,1629.0,7.0,565.0,6789.0
Vietnam,1410.0,61.0,2388.0,13937.0
Mongolia,953.0,0.0,509.0,5847.0
Papua New Guinea,943.0,8.0,597.0,1262.0
Mauritius,858.0,10.0,489.0,3295.0
Burundi,751.0,1.0,640.0,1439.0
Eritrea,741.0,0.0,572.0,1920.0
Tanzania,509.0,21.0,183.0,654.0
Bhutan,443.0,0.0,422.0,3262.0
Cambodia,362.0,0.0,408.0,1991.0
Barbados,307.0,7.0,280.0,1413.0
Seychelles,202.0,0.0,184.0,364.0
Monaco,154.0,4.0,116.0,863.0
Brunei Darussalam,152.0,3.0,148.0,1435.0
Dominica,88.0,0.0,83.0,185.0
Fiji,46.0,2.0,42.0,129.0
Laos,41.0,0.0,46.0,215.0
Timor-Leste,31.0,0.0,30.0,63.0
Solomon Islands,17.0,0.0,5.0,16.0
Vanuatu,1.0,0.0,1.0,1.0
Macau,0.0,0.0,0.0,0.0
