,standard_names,Confirmed,Deaths,Recovered,Active
0,United States,17459295.0,313588.0,6303715.0,17250562.0
1,India,10004599.0,145137.0,9550712.0,1069706.0
2,Brazil,7162978.0,185650.0,6322955.0,2086092.0
3,China,6490356.0,4752.0,89359.0,6457641.0
4,Russia,2764843.0,49170.0,2207398.0,680564.0
5,France,2574053.0,60730.0,189019.0,2351262.0
6,United Kingdom,2065483.0,850231.0,5356.0,2729352.0
7,Turkey,1982090.0,17610.0,1753552.0,1387694.0
8,Italy,1921926.0,67925.0,1226970.0,918745.0
9,Spain,1807642.0,50846.0,150376.0,1653485.0
10,Argentina,1531374.0,41672.0,1356755.0,337980.0
11,Germany,1486839.0,25786.0,1095982.0,535089.0
12,Colombia,1482072.0,40019.0,1420172.0,381158.0
13,Mexico,1301546.0,117249.0,1066853.0,368627.0
14,Poland,1182864.0,24771.0,915588.0,457160.0
15,Iran,1145651.0,53273.0,865474.0,294951.0
16,Peru,989457.0,36858.0,929633.0,390330.0
17,Ukraine,970758.0,16848.0,582457.0,398253.0
18,South Africa,901538.0,24285.0,783818.0,299226.0
19,Netherlands,733064.0,16637.0,8565.0,708028.0
